filename	label
/static/Data Plate/car_long/82.jpg	51A-052.27
/static/Data Plate/car_long/83.jpg	51A-052.27
/static/Data Plate/car_long/128.jpg	51G-216.70
/static/Data Plate/car_long/186.jpg	51A-012.04
/static/Data Plate/car_long/187.jpg	51A-012.04
/static/Data Plate/car_long/219.jpg	51F-069.48
/static/Data Plate/car_long/261.jpg	51F-079.73
/static/Data Plate/car_long/282.jpg	51F-617.12
/static/Data Plate/car_long/301.jpg	86A-068.44
/static/Data Plate/car_long/303.jpg	93LD-001.03
/static/Data Plate/car_long/316.jpg	51F-882.70
/static/Data Plate/car_long/317.jpg	51F-882.70
/static/Data Plate/car_long/318.jpg	51F-882.70
/static/Data Plate/car_long/320.jpg	51F-882.70
/static/Data Plate/car_long/321.jpg	51F-882.70
/static/Data Plate/car_long/390.jpg	51F-630.34
/static/Data Plate/car_long/391.jpg	51F-630.34
/static/Data Plate/car_long/442.jpg	51A-691.72
/static/Data Plate/car_long/443.jpg	51A-691.72
/static/Data Plate/car_long/448.jpg	51F-161.59
/static/Data Plate/car_long/449.jpg	51F-161.59
/static/Data Plate/car_long/462.jpg	51G-472.81
/static/Data Plate/car_long/463.jpg	51G-472.81
/static/Data Plate/car_long/508.jpg	51A-897.14
/static/Data Plate/car_long/542.jpg	51B-216.66
/static/Data Plate/car_long/544.jpg	51B-216.66
/static/Data Plate/car_long/554.jpg	51A-721.10
/static/Data Plate/car_long/555.jpg	51A-721.10
/static/Data Plate/car_long/564.jpg	51A-961.41
/static/Data Plate/car_long/565.jpg	51A-961.41
/static/Data Plate/car_long/566.jpg	51A-961.41
/static/Data Plate/car_long/567.jpg	51A-961.41
/static/Data Plate/car_long/604.jpg	51F-446.14
/static/Data Plate/car_long/605.jpg	51F-446.14
/static/Data Plate/car_long/706.jpg	51G-513.32
/static/Data Plate/car_long/743.jpg	51F-155.85
/static/Data Plate/car_long/744.jpg	51F-155.85
/static/Data Plate/car_long/745.jpg	51F-155.85
/static/Data Plate/car_long/782.jpg	30V-3993
/static/Data Plate/car_long/783.jpg	30V-3993
/static/Data Plate/car_long/812.jpg	60A-359.81
/static/Data Plate/car_long/820.jpg	29A-517.96
/static/Data Plate/car_long/821.jpg	29A-517.96
/static/Data Plate/car_long/822.jpg	29A-517.96
/static/Data Plate/car_long/844.jpg	51F-590.11
/static/Data Plate/car_long/845.jpg	51F-590.11
/static/Data Plate/car_long/905.jpg	Error
/static/Data Plate/car_long/1728.jpg	51F-311.18
/static/Data Plate/car_long/1729.jpg	51F-311.18
/static/Data Plate/car_long/1760.jpg	Error
/static/Data Plate/car_long/1802.jpg	81A-234.82
/static/Data Plate/car_long/1950.jpg	60LD-044.11
/static/Data Plate/car_long/1951.jpg	50LD-044.11
/static/Data Plate/car_long/1961.jpg	51A-853.25
/static/Data Plate/car_long/2062.jpg	51G-251.81
/static/Data Plate/car_long/2215.jpg	51G-100.96
/static/Data Plate/car_long/2232.jpg	51G-011.77
/static/Data Plate/car_long/2271.jpg	51G-373.07
/static/Data Plate/car_long/2272.jpg	51G-505.53
/static/Data Plate/car_long/2301.jpg	51G-473.40
/static/Data Plate/car_long/2408.jpg	51F-065.32
/static/Data Plate/car_long/2425.jpg	60LD-005.84
/static/Data Plate/car_long/2428.jpg	60A-214.18
/static/Data Plate/car_long/2429.jpg	60A-214.18
/static/Data Plate/car_long/2436.jpg	51A-720.78
/static/Data Plate/car_long/2564.jpg	51A-775.29
/static/Data Plate/car_long/2779.jpg	51G-510.08
/static/Data Plate/car_long/3352.jpg	51A-052.27
/static/Data Plate/car_long/3353.jpg	51A-052.27
/static/Data Plate/car_long/3420.jpg	51F-598.81
/static/Data Plate/car_long/3457.jpg	51A-012.04
/static/Data Plate/car_long/3525.jpg	51G-394.66
/static/Data Plate/car_long/3528.jpg	51F-079.73
/static/Data Plate/car_long/3529.jpg	51F-079.73
/static/Data Plate/car_long/3551.jpg	51F-617.12
/static/Data Plate/car_long/3572.jpg	93LD-001.03
/static/Data Plate/car_long/3573.jpg	93LD-001.03
/static/Data Plate/car_long/3586.jpg	51F-882.70
/static/Data Plate/car_long/3587.jpg	51F-882.70
/static/Data Plate/car_long/3590.jpg	51F-882.70
/static/Data Plate/car_long/3659.jpg	51F-630.34
/static/Data Plate/car_long/3715.jpg	51A-691.72
/static/Data Plate/car_long/3718.jpg	51F-161.59
/static/Data Plate/car_long/3719.jpg	51F-161.59
/static/Data Plate/car_long/3735.jpg	51G-472.81
/static/Data Plate/car_long/3749.jpg	61A-229.59
/static/Data Plate/car_long/3784.jpg	51A-897.14
/static/Data Plate/car_long/3818.jpg	51B-216.66
/static/Data Plate/car_long/3819.jpg	51B-216.66
/static/Data Plate/car_long/3820.jpg	51B-216.66
/static/Data Plate/car_long/3821.jpg	51B-216.66
/static/Data Plate/car_long/3840.jpg	51A-961.41
/static/Data Plate/car_long/3842.jpg	51A-961.41
/static/Data Plate/car_long/3843.jpg	51A-961.41
/static/Data Plate/car_long/3921.jpg	51F-244.03
/static/Data Plate/car_long/4014.jpg	51F-155.85
/static/Data Plate/car_long/4015.jpg	51F-155.85
/static/Data Plate/car_long/4047.jpg	51F-222.61
/static/Data Plate/car_long/4095.jpg	29A-517.96
/static/Data Plate/car_long/4098.jpg	29A-517.96
/static/Data Plate/car_long/4121.jpg	51F-590.11
/static/Data Plate/car_long/4640.jpg	51G-491.60
/static/Data Plate/car_long/4641.jpg	51G-491.60
/static/Data Plate/car_long/5010.jpg	51F-207.54
/static/Data Plate/car_long/5011.jpg	51F-207.54
/static/Data Plate/car_long/5236.jpg	50LD-044.11
/static/Data Plate/car_long/5242.jpg	51A-853.25
/static/Data Plate/car_long/5346.jpg	51G-251.81
/static/Data Plate/car_long/5347.jpg	51G-251.81
/static/Data Plate/car_long/5458.jpg	51A-909.05
/static/Data Plate/car_long/5459.jpg	51A-909.05
/static/Data Plate/car_long/5499.jpg	51G-100.96
/static/Data Plate/car_long/5514.jpg	48A-051.77
/static/Data Plate/car_long/5515.jpg	48A-051.77
/static/Data Plate/car_long/5516.jpg	51G-011.77
/static/Data Plate/car_long/5554.jpg	51G-373.07
/static/Data Plate/car_long/5586.jpg	51G-473.40
/static/Data Plate/car_long/5587.jpg	51G-473.40
/static/Data Plate/car_long/5697.jpg	51F-065.32
/static/Data Plate/car_long/5710.jpg	60LD-005.84
/static/Data Plate/car_long/5715.jpg	60A-214.18
/static/Data Plate/car_long/5722.jpg	51A-720.78
/static/Data Plate/car_long/5723.jpg	51A-720.78
/static/Data Plate/car_long/5854.jpg	51A-775.29
/static/Data Plate/car_long/5855.jpg	51A-775.29
/static/Data Plate/car_long/6070.jpg	51G-510.08
/static/Data Plate/car_long/6071.jpg	51G-510.08
/static/Data Plate/car_long/6630.jpg	51A-052.27
/static/Data Plate/car_long/6631.jpg	51A-052.27
/static/Data Plate/car_long/6667.jpg	51F-598.81
/static/Data Plate/car_long/6686.jpg	51A-012.04
/static/Data Plate/car_long/6732.jpg	51F-079.73
/static/Data Plate/car_long/6770.jpg	51A-554.33
/static/Data Plate/car_long/6781.jpg	51F-882.70
/static/Data Plate/car_long/6808.jpg	30E-000.90
/static/Data Plate/car_long/6814.jpg	51F-630.34
/static/Data Plate/car_long/6815.jpg	51F-630.34
/static/Data Plate/car_long/6842.jpg	51A-691.72
/static/Data Plate/car_long/6843.jpg	51A-691.72
/static/Data Plate/car_long/6872.jpg	51G-510.08
/static/Data Plate/car_long/6873.jpg	51G-510.08
/static/Data Plate/car_long/6891.jpg	51F-356.13
/static/Data Plate/car_long/6904.jpg	51A-961.41
/static/Data Plate/car_long/6905.jpg	51A-961.41
/static/Data Plate/car_long/6922.jpg	51F-446.14
/static/Data Plate/car_long/6923.jpg	51F-446.14
/static/Data Plate/car_long/6942.jpg	51F-244.03
/static/Data Plate/car_long/7002.jpg	51G-513.32
/static/Data Plate/car_long/7027.jpg	51F-155.85
/static/Data Plate/car_long/7028.jpg	51F-155.85
/static/Data Plate/car_long/7029.jpg	51F-155.85
/static/Data Plate/car_long/7073.jpg	60A-359.81
/static/Data Plate/car_long/7078.jpg	29A-517.96
/static/Data Plate/car_long/7079.jpg	29A-517.96
/static/Data Plate/car_long/7092.jpg	51F-048.77
/static/Data Plate/car_long/7093.jpg	51F-048.77
/static/Data Plate/car_long/7094.jpg	86A-066.42
/static/Data Plate/car_long/7144.jpg	51G-205.36
/static/Data Plate/car_long/7145.jpg	51G-205.36
/static/Data Plate/car_long/7215.jpg	51F-153.80
/static/Data Plate/car_long/7290.jpg	51F-212.55
/static/Data Plate/car_long/7340.jpg	51F-692.59
/static/Data Plate/car_long/7341.jpg	51F-692.59
